"Location ID","Location","Date","Value","Rank","Anomaly (1901-2000 base period)","1901-2000 Mean"
0100,"Alabama",190502,49.5,2,-10.1,59.6
0100,"Alabama",190503,71.6,109,4.4,67.2
0100,"Alabama",190504,75.7,63,0.1,75.6
0100,"Alabama",190505,85.4,107,2.4,83
0100,"Alabama",190506,91.4,103,2.1,89.3
0100,"Alabama",190507,91.1,70,0.0,91.1
0100,"Alabama",190508,89.8,52,-0.8,90.6
0100,"Alabama",190509,88.2,95,1.9,86.3
0100,"Alabama",190510,74.4,21,-2.5,76.9
0100,"Alabama",190511,68.0,86,2.0,66
0100,"Alabama",190512,52.6,13,-4.8,57.4
0100,"Alabama",190601,57.2,81,1.2,56
0100,"Alabama",190602,58.1,47,-1.5,59.6
0100,"Alabama",190603,61.9,11,-5.3,67.2
0100,"Alabama",190604,79.1,114,3.5,75.6
0100,"Alabama",190605,82.1,48,-0.9,83
0100,"Alabama",190606,91.1,98,1.8,89.3
0100,"Alabama",190607,89.9,33,-1.2,91.1
0100,"Alabama",190608,91.7,91,1.1,90.6
0100,"Alabama",190609,88.6,99,2.3,86.3
0100,"Alabama",190610,72.6,5,-4.3,76.9
0100,"Alabama",190611,68.8,95,2.8,66
0100,"Alabama",190612,60.4,99,3.0,57.4
0100,"Alabama",190701,65.0,126,9.0,56
0100,"Alabama",190702,60.6,77,1.0,59.6
0100,"Alabama",190703,77.3,127,10.1,67.2
0100,"Alabama",190704,70.0,1,-5.6,75.6
0100,"Alabama",190705,79.2,3,-3.8,83
0100,"Alabama",190706,88.2,44,-1.1,89.3
0100,"Alabama",190707,92.8,107,1.7,91.1
0100,"Alabama",190708,92.5,102,1.9,90.6
0100,"Alabama",190709,86.8,76,0.5,86.3
0100,"Alabama",190710,76.9,66,0.0,76.9
0100,"Alabama",190711,62.8,20,-3.2,66
0100,"Alabama",190712,55.5,34,-1.9,57.4
0100,"Alabama",190801,54.6,50,-1.4,56
0100,"Alabama",190802,55.2,21,-4.4,59.6
0100,"Alabama",190803,74.6,122,7.4,67.2
0100,"Alabama",190804,79.7,118,4.1,75.6
0100,"Alabama",190805,84.0,79,1.0,83
0100,"Alabama",190806,90.4,84,1.1,89.3
0100,"Alabama",190807,91.9,89,0.8,91.1
0100,"Alabama",190808,91.4,85,0.8,90.6
0100,"Alabama",190809,87.0,81,0.7,86.3
0100,"Alabama",190810,75.3,34,-1.6,76.9
0100,"Alabama",190811,70.3,115,4.3,66
0100,"Alabama",190812,61.6,108,4.2,57.4
0100,"Alabama",190901,61.0,109,5.0,56
0100,"Alabama",190902,63.2,102,3.6,59.6
0100,"Alabama",190903,67.8,69,0.6,67.2
0100,"Alabama",190904,75.6,61,-0.0,75.6
0100,"Alabama",190905,81.4,38,-1.6,83
0100,"Alabama",190906,89.0,60,-0.3,89.3
0100,"Alabama",190907,91.5,77,0.4,91.1
0100,"Alabama",190908,92.8,106,2.2,90.6
0100,"Alabama",190909,87.3,86,1.0,86.3
0100,"Alabama",190910,79.1,102,2.2,76.9
0100,"Alabama",190911,74.8,126,8.8,66
0100,"Alabama",190912,52.1,11,-5.3,57.4
0100,"Alabama",191001,57.6,83,1.6,56
0100,"Alabama",191002,56.9,31,-2.7,59.6
0100,"Alabama",191003,75.2,123,8.0,67.2
0100,"Alabama",191004,75.8,69,0.2,75.6
0100,"Alabama",191005,81.9,45,-1.1,83
0100,"Alabama",191006,86.9,25,-2.4,89.3
0100,"Alabama",191007,88.8,15,-2.3,91.1
0100,"Alabama",191008,91.2,80,0.6,90.6
0100,"Alabama",191009,90.3,116,4.0,86.3
0100,"Alabama",191010,79.5,106,2.6,76.9
0100,"Alabama",191011,64.1,35,-1.9,66
0100,"Alabama",191012,53.2,15,-4.2,57.4
0100,"Alabama",191101,61.3,112,5.3,56
0100,"Alabama",191102,65.4,113,5.8,59.6
0100,"Alabama",191103,71.1,104,3.9,67.2
0100,"Alabama",191104,74.9,52,-0.7,75.6
0100,"Alabama",191105,86.6,118,3.6,83
0100,"Alabama",191106,93.9,120,4.6,89.3
0100,"Alabama",191107,89.1,20,-2.0,91.1
0100,"Alabama",191108,89.8,52,-0.8,90.6
0100,"Alabama",191109,92.5,122,6.2,86.3
0100,"Alabama",191110,80.4,116,3.5,76.9
0100,"Alabama",191111,62.6,16,-3.4,66
0100,"Alabama",191112,60.1,94,2.7,57.4
0100,"Alabama",191201,51.4,18,-4.6,56
0100,"Alabama",191202,55.1,20,-4.5,59.6
0100,"Alabama",191203,63.6,23,-3.6,67.2
0100,"Alabama",191204,76.0,71,0.4,75.6
0100,"Alabama",191205,84.8,95,1.8,83
0100,"Alabama",191206,85.8,12,-3.5,89.3
0100,"Alabama",191207,90.2,42,-0.9,91.1
0100,"Alabama",191208,90.2,60,-0.4,90.6
0100,"Alabama",191209,87.5,88,1.2,86.3
0100,"Alabama",191210,77.6,76,0.7,76.9
0100,"Alabama",191211,64.8,48,-1.2,66
0100,"Alabama",191212,56.9,54,-0.5,57.4
0100,"Alabama",191301,62.5,117,6.5,56
0100,"Alabama",191302,58.2,49,-1.4,59.6
0100,"Alabama",191303,66.5,51,-0.7,67.2
0100,"Alabama",191304,75.0,55,-0.6,75.6
0100,"Alabama",191305,84.6,92,1.6,83
0100,"Alabama",191306,91.1,98,1.8,89.3
0100,"Alabama",191307,92.7,103,1.6,91.1
0100,"Alabama",191308,93.4,112,2.8,90.6
0100,"Alabama",191309,84.0,28,-2.3,86.3
0100,"Alabama",191310,73.9,15,-3.0,76.9
0100,"Alabama",191311,70.1,114,4.1,66
0100,"Alabama",191312,57.2,59,-0.2,57.4
0100,"Alabama",191401,58.8,94,2.8,56
0100,"Alabama",191402,57.4,35,-2.2,59.6
0100,"Alabama",191403,62.2,13,-5.0,67.2
0100,"Alabama",191404,76.7,84,1.1,75.6
0100,"Alabama",191405,85.4,107,2.4,83
0100,"Alabama",191406,96.4,126,7.1,89.3
0100,"Alabama",191407,93.9,118,2.8,91.1
0100,"Alabama",191408,89.6,41,-1.0,90.6
0100,"Alabama",191409,84.5,36,-1.8,86.3
0100,"Alabama",191410,74.8,29,-2.1,76.9
0100,"Alabama",191411,65.8,59,-0.2,66
0100,"Alabama",191412,51.5,7,-5.9,57.4
0100,"Alabama",191501,53.3,34,-2.7,56
0100,"Alabama",191502,58.9,58,-0.7,59.6
0100,"Alabama",191503,58.1,2,-9.1,67.2
0100,"Alabama",191504,79.0,113,3.4,75.6
0100,"Alabama",191505,86.1,114,3.1,83
0100,"Alabama",191506,90.8,90,1.5,89.3
0100,"Alabama",191507,92.2,94,1.1,91.1
0100,"Alabama",191508,90.1,58,-0.5,90.6
0100,"Alabama",191509,88.5,96,2.2,86.3
0100,"Alabama",191510,78.0,80,1.1,76.9
0100,"Alabama",191511,70.4,117,4.4,66
0100,"Alabama",191512,58.0,71,0.6,57.4
0100,"Alabama",191601,62.6,118,6.6,56
0100,"Alabama",191602,59.9,70,0.3,59.6
0100,"Alabama",191603,67.1,58,-0.1,67.2
0100,"Alabama",191604,74.7,45,-0.9,75.6
0100,"Alabama",191605,86.2,115,3.2,83
0100,"Alabama",191606,89.0,60,-0.3,89.3
0100,"Alabama",191607,87.3,4,-3.8,91.1
0100,"Alabama",191608,91.3,83,0.7,90.6
0100,"Alabama",191609,86.6,71,0.3,86.3
0100,"Alabama",191610,78.0,80,1.1,76.9
0100,"Alabama",191611,68.5,92,2.5,66
0100,"Alabama",191612,58.2,73,0.8,57.4
0100,"Alabama",191701,60.0,102,4.0,56
0100,"Alabama",191702,60.9,79,1.3,59.6
